problem size (bits),repetitions
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 5
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 4
79, 2
79, 1
79, 1
79, 1
79, 1
79, 3
79, 1
79, 2
79, 2
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 3
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 2
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 2
79, 2
79, 3
79, 1
79, 1
79, 2
79, 2
79, 1
79, 4
79, 1
79, 2
79, 2
79, 1
79, 3
79, 2
79, 1
79, 1
79, 1
79, 1
79, 2
79, 2
79, 1
79, 3
79, 1
79, 1
79, 1
79, 2
79, 1
79, 2
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 2
79, 2
79, 1
79, 2
79, 1
79, 2
79, 1
79, 2
79, 1
79, 2
79, 2
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 2
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 3
79, 2
79, 1
79, 5
79, 1
79, 1
79, 2
79, 1
79, 1
79, 2
79, 2
79, 1
79, 3
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 2
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 3
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 4
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 4
79, 1
79, 1
79, 1
79, 2
79, 2
79, 1
79, 1
79, 2
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 3
79, 2
79, 7
79, 1
79, 1
79, 2
79, 1
79, 2
79, 1
79, 3
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 7
79, 2
79, 1
79, 1
79, 1
79, 1
79, 3
79, 2
79, 2
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 4
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 2
79, 2
79, 1
79, 2
79, 1
79, 2
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 4
79, 3
79, 1
79, 3
79, 1
79, 1
79, 3
79, 1
79, 1
79, 1
79, 2
79, 2
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 1
79, 1
79, 1
79, 4
79, 2
79, 4
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 3
79, 1
79, 1
79, 2
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 3
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 7
79, 1
79, 4
79, 2
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 3
79, 1
79, 2
79, 1
79, 1
79, 1
79, 1
79, 1
79, 1
79, 2
79, 1
79, 1
79, 2
79, 3
79, 1
79, 1
79, 2
79, 1
